session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season
9956,Practice,Practice 1,2025-06-13T17:30:00+00:00,2025-06-13T18:30:00+00:00,1263,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2025,False,2025
9957,Practice,Practice 2,2025-06-13T21:00:00+00:00,2025-06-13T22:00:00+00:00,1263,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2025,False,2025
9958,Practice,Practice 3,2025-06-14T16:30:00+00:00,2025-06-14T17:30:00+00:00,1263,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2025,False,2025
9959,Qualifying,Qualifying,2025-06-14T20:00:00+00:00,2025-06-14T21:00:00+00:00,1263,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2025,False,2025
9963,Race,Race,2025-06-15T18:00:00+00:00,2025-06-15T20:00:00+00:00,1263,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2025,False,2025
9948,Practice,Practice 1,2025-06-27T11:30:00+00:00,2025-06-27T12:30:00+00:00,1264,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2025,False,2025
9949,Practice,Practice 2,2025-06-27T15:00:00+00:00,2025-06-27T16:00:00+00:00,1264,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2025,False,2025
9950,Practice,Practice 3,2025-06-28T10:30:00+00:00,2025-06-28T11:30:00+00:00,1264,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2025,False,2025
9951,Qualifying,Qualifying,2025-06-28T14:00:00+00:00,2025-06-28T15:00:00+00:00,1264,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2025,False,2025
9955,Race,Race,2025-06-29T13:00:00+00:00,2025-06-29T15:00:00+00:00,1264,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2025,False,2025
9940,Practice,Practice 1,2025-07-04T11:30:00+00:00,2025-07-04T12:30:00+00:00,1277,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2025,False,2025
9941,Practice,Practice 2,2025-07-04T15:00:00+00:00,2025-07-04T16:00:00+00:00,1277,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2025,False,2025
9942,Practice,Practice 3,2025-07-05T10:30:00+00:00,2025-07-05T11:30:00+00:00,1277,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2025,False,2025
